sample_id,source_mode,symbol,direction_guess,direction_confidence,window_start,window_end,anchor_timestamp,anchor_timeframe,anchor_date,anchor_iso_week,month,session,candidate_source_type,entry_level_source,entry_level_confidence,entry_level_price,entry_level_is_heuristic,volatility_bucket,daily_atr_at_anchor,chart_path,html_path,execution_data_status,m1_candles_count,m5_candles_count,m15_candles_count,h1_candles_count,m1_count,m5_count,m15_count,h1_count,execution_window_start,execution_window_end,candidate_reason_codes,limitations,reviewer_should_skip_due_to_missing_ltf_data_manual,htf_liquidity_class_manual,ltf_liquidity_class_manual,multi_tf_alignment_manual,liquidity_taken_manual,liquidity_depth_quality_manual,shallow_liquidity_trap_manual,target_liquidity_available_manual,reaction_zone_present_manual,reaction_zone_type_manual,reaction_zone_age_quality_manual,fvg_valid_manual,ifvg_valid_manual,volume_crack_present_manual,volume_profile_clean_manual,number_theory_confluence_manual,adelin_v2_label_manual,would_trade_manual,no_trade_reason_manual,setup_quality_score_manual,reversal_or_continuation_manual,rare_ifvg_continuation_candidate_manual,expected_sl_pips_manual,sl_acceptable_manual,be_after_reaction_manual,early_close_candidate_manual,accumulation_after_entry_manual,m1_engulfing_against_manual,runner_target_manual,partial_management_manual,expected_target_area_manual,actual_reaction_quality_manual,actual_followthrough_quality_manual,reviewer_confidence_manual,reviewer_notes,automatic_outcome_label,direction_guess,entry_price,entry_level_source,entry_level_confidence,entry_level_reason_codes,entry_level_is_heuristic,max_favorable_pips,max_adverse_pips,time_to_100_pips_minutes,fast_reaction_100pips_15m,sl_20_hit,sl_40_hit,limitations
sample_011,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,UNKNOWN,2026-03-03T23:30:00+00:00,2026-03-04T04:00:00+00:00,2026-03-04T01:00:00+00:00,M15,2026-03-04,2026-W10,2026-03,ASIA_OPEN,UNKNOWN,ROUND_LEVEL,MEDIUM,,True,MID,149.0329,charts/sample_011.svg,examples/sample_011.html,REVIEWABLE_M1_M5,211,43,15,4,211,43,15,4,2026-03-03T23:30:00+00:00,2026-03-04T04:00:00+00:00,ASIA_OPEN_CONTEXT,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,5110.0,ROUND_LEVEL,MEDIUM,ANCHOR_PRICE_NEAR_ROUND_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
sample_012,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,UNKNOWN,2026-04-01T04:30:00+00:00,2026-04-01T09:00:00+00:00,2026-04-01T06:00:00+00:00,M15,2026-04-01,2026-W14,2026-04,LONDON,ROUND_LEVEL,ROUND_LEVEL,HIGH,4690.0,True,HIGH,194.9686,charts/sample_012.svg,examples/sample_012.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-04-01T04:30:00+00:00,2026-04-01T09:00:00+00:00,NUMBER_THEORY_LEVEL_NEAR|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,LONG,4690.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,432.2,229.4,159.0,False,True,True,
sample_013,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,HIGH,2026-03-31T23:45:00+00:00,2026-04-01T04:15:00+00:00,2026-04-01T01:15:00+00:00,M15,2026-04-01,2026-W14,2026-04,ASIA,SWEEP_EXTREME,SWEEP_EXTREME,LOW,4663.03,True,HIGH,194.9686,charts/sample_013.svg,examples/sample_013.html,REVIEWABLE_M1_M5,196,40,14,4,196,40,14,4,2026-03-31T23:45:00+00:00,2026-04-01T04:15:00+00:00,M15_SWING_HIGH_SWEEP_VISUAL_CANDIDATE|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,LONG,4663.03,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,612.0,14.0,0.0,True,False,False,
sample_014,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,MEDIUM,2026-04-13T23:30:00+00:00,2026-04-14T04:00:00+00:00,2026-04-14T01:00:00+00:00,M15,2026-04-14,2026-W16,2026-04,ASIA,SWEPT_LIQUIDITY_LEVEL,SWEPT_LIQUIDITY_LEVEL,MEDIUM,4750.12,True,MID,154.06,charts/sample_014.svg,examples/sample_014.html,REVIEWABLE_M1_M5,181,37,13,4,181,37,13,4,2026-04-13T23:30:00+00:00,2026-04-14T04:00:00+00:00,M15_SWING_HIGH_SWEEP_VISUAL_CANDIDATE|SWEPT_LIQUIDITY_LEVEL_METADATA_AVAILABLE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,4750.12,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
sample_015,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,UNKNOWN,2026-04-08T23:30:00+00:00,2026-04-09T04:00:00+00:00,2026-04-09T01:00:00+00:00,M15,2026-04-09,2026-W15,2026-04,ASIA,UNKNOWN,UNKNOWN,UNKNOWN,,True,HIGH,205.4414,charts/sample_015.svg,examples/sample_015.html,REVIEWABLE_M1_M5,181,37,13,4,181,37,13,4,2026-04-08T23:30:00+00:00,2026-04-09T04:00:00+00:00,LARGE_UPPER_WICK_REVERSAL_VISUAL_CANDIDATE,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,UNKNOWN_DIRECTION,,UNKNOWN,UNKNOWN,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,True,,,,False,False,False,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY
sample_016,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,UNKNOWN,2026-05-01T00:15:00+00:00,2026-05-01T04:45:00+00:00,2026-05-01T01:45:00+00:00,M15,2026-05-01,2026-W18,2026-05,ASIA,ROUND_LEVEL,ROUND_LEVEL,HIGH,4630.0,True,LOW,108.3743,charts/sample_016.svg,examples/sample_016.html,REVIEWABLE_M1_M5,226,46,16,4,226,46,16,4,2026-05-01T00:15:00+00:00,2026-05-01T04:45:00+00:00,NUMBER_THEORY_LEVEL_NEAR|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,SHORT,4630.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,161.5,60.1,111.0,False,True,True,
sample_017,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,MEDIUM,2026-05-01T05:30:00+00:00,2026-05-01T10:00:00+00:00,2026-05-01T07:00:00+00:00,M15,2026-05-01,2026-W18,2026-05,LONDON_OPEN,SWEEP_EXTREME,UNKNOWN,UNKNOWN,4631.93,True,LOW,108.3743,charts/sample_017.svg,examples/sample_017.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-05-01T05:30:00+00:00,2026-05-01T10:00:00+00:00,LONDON_OPEN_CONTEXT|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,ENTRY_DIRECTION_CONFLICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,LONG,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,,,,False,False,False,ENTRY_DIRECTION_CONFLICT
sample_018,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,MEDIUM,2026-05-06T23:30:00+00:00,2026-05-07T04:00:00+00:00,2026-05-07T01:00:00+00:00,M15,2026-05-07,2026-W19,2026-05,ASIA,SWEPT_LIQUIDITY_LEVEL,SWEPT_LIQUIDITY_LEVEL,MEDIUM,4678.94,True,LOW,111.7886,charts/sample_018.svg,examples/sample_018.html,REVIEWABLE_M1_M5,181,37,13,4,181,37,13,4,2026-05-06T23:30:00+00:00,2026-05-07T04:00:00+00:00,M15_SWING_LOW_SWEEP_VISUAL_CANDIDATE|LARGE_LOWER_WICK_REVERSAL_VISUAL_CANDIDATE|SWEPT_LIQUIDITY_LEVEL_METADATA_AVAILABLE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,4678.94,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
sample_019,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,UNKNOWN,2026-05-11T23:30:00+00:00,2026-05-12T04:00:00+00:00,2026-05-12T01:00:00+00:00,M15,2026-05-12,2026-W20,2026-05,ASIA,UNKNOWN,ROUND_LEVEL,MEDIUM,,True,LOW,101.425,charts/sample_019.svg,examples/sample_019.html,REVIEWABLE_M1_M5,181,37,13,4,181,37,13,4,2026-05-11T23:30:00+00:00,2026-05-12T04:00:00+00:00,LARGE_UPPER_WICK_REVERSAL_VISUAL_CANDIDATE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,4740.0,ROUND_LEVEL,MEDIUM,ANCHOR_PRICE_NEAR_ROUND_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
sample_020,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,UNKNOWN,2026-01-30T03:45:00+00:00,2026-01-30T08:15:00+00:00,2026-01-30T05:15:00+00:00,M15,2026-01-30,2026-W05,2026-01,ASIA,ROUND_LEVEL,ROUND_LEVEL,HIGH,5200.0,True,MID,145.4793,charts/sample_020.svg,examples/sample_020.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-01-30T03:45:00+00:00,2026-01-30T08:15:00+00:00,NUMBER_THEORY_LEVEL_NEAR|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAST_SL_20,LONG,5200.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,413.9,755.3,15.0,True,True,True,
sample_021,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,HIGH,2026-01-30T08:00:00+00:00,2026-01-30T12:30:00+00:00,2026-01-30T09:30:00+00:00,M15,2026-01-30,2026-W05,2026-01,LONDON,SWEEP_EXTREME,SWEEP_EXTREME,LOW,5186.51,True,MID,145.4793,charts/sample_021.svg,examples/sample_021.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-01-30T08:00:00+00:00,2026-01-30T12:30:00+00:00,M15_SWING_LOW_SWEEP_VISUAL_CANDIDATE|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,5186.51,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,2445.2,0.0,0.0,True,False,False,
sample_022,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,UNKNOWN,2026-02-02T09:45:00+00:00,2026-02-02T14:15:00+00:00,2026-02-02T11:15:00+00:00,M15,2026-02-02,2026-W06,2026-02,LONDON,ROUND_LEVEL,ROUND_LEVEL,HIGH,4690.0,True,MID,191.7493,charts/sample_022.svg,examples/sample_022.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-02-02T09:45:00+00:00,2026-02-02T14:15:00+00:00,NUMBER_THEORY_LEVEL_NEAR|ROUND_LEVEL_ENTRY_METADATA_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD_FAST_REACTION,SHORT,4690.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,637.7,1226.4,0.0,True,True,True,
sample_023,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,HIGH,2026-02-02T14:45:00+00:00,2026-02-02T19:15:00+00:00,2026-02-02T16:15:00+00:00,M15,2026-02-02,2026-W06,2026-02,NEW_YORK,SWEEP_EXTREME,UNKNOWN,UNKNOWN,4669.45,True,MID,191.7493,charts/sample_023.svg,examples/sample_023.html,REVIEWABLE_M1_M5,271,55,19,5,271,55,19,5,2026-02-02T14:45:00+00:00,2026-02-02T19:15:00+00:00,LARGE_LOWER_WICK_REVERSAL_VISUAL_CANDIDATE|PRE_ANCHOR_SWEEP_EXTREME_CANDIDATE,ENTRY_DIRECTION_CONFLICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_ENTRY_LEVEL,SHORT,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,,,,False,False,False,ENTRY_DIRECTION_CONFLICT
sample_024,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN_DIRECTION,MEDIUM,2026-02-05T23:30:00+00:00,2026-02-06T04:00:00+00:00,2026-02-06T01:00:00+00:00,M15,2026-02-06,2026-W06,2026-02,ASIA_OPEN,SWEPT_LIQUIDITY_LEVEL,SWEPT_LIQUIDITY_LEVEL,MEDIUM,4759.71,True,HIGH,268.2907,charts/sample_024.svg,examples/sample_024.html,REVIEWABLE_M1_M5,211,43,15,4,211,43,15,4,2026-02-05T23:30:00+00:00,2026-02-06T04:00:00+00:00,M15_SWING_LOW_SWEEP_VISUAL_CANDIDATE|ASIA_OPEN_CONTEXT|SWEPT_LIQUIDITY_LEVEL_METADATA_AVAILABLE,DIRECTION_NOT_INFERRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,4759.71,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,,,,False,False,False,DIRECTION_NOT_INFERRED
